Filename,seq,seq_id,Label,part,word,sentence,before,after,dur_mod,seg_Start,seg_End,pF0_mean,pF0_means001,pF0_means002,pF0_means003,pF0_means004,pF0_means005,pF0_means006,pF0_means007,pF0_means008,pF0_means009,pF0_means010,pF0_means011,pF0_means012,pF0_means013,pF0_means014,pF0_means015,pF0_means016,pF0_means017,pF0_means018,pF0_means019,pF0_means020,pF1_mean,pF1_means001,pF1_means002,pF1_means003,pF1_means004,pF1_means005,pF1_means006,pF1_means007,pF1_means008,pF1_means009,pF1_means010,pF1_means011,pF1_means012,pF1_means013,pF1_means014,pF1_means015,pF1_means016,pF1_means017,pF1_means018,pF1_means019,pF1_means020,pF2_mean,pF2_means001,pF2_means002,pF2_means003,pF2_means004,pF2_means005,pF2_means006,pF2_means007,pF2_means008,pF2_means009,pF2_means010,pF2_means011,pF2_means012,pF2_means013,pF2_means014,pF2_means015,pF2_means016,pF2_means017,pF2_means018,pF2_means019,pF2_means020,pF3_mean,pF3_means001,pF3_means002,pF3_means003,pF3_means004,pF3_means005,pF3_means006,pF3_means007,pF3_means008,pF3_means009,pF3_means010,pF3_means011,pF3_means012,pF3_means013,pF3_means014,pF3_means015,pF3_means016,pF3_means017,pF3_means018,pF3_means019,pF3_means020,dur,issue
VS-24_01.mat,upi,1,UH0,V1,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,T,P,31.016000000000076,1580.5929999999998,1611.609,224.438,237.41099999999997,237.322,237.24099999999999,238.449,238.412,237.59900000000002,236.77,233.298,227.923,227.003,224.519,220.851,220.025,219.12,216.657,215.15400000000002,213.84099999999998,210.66099999999997,207.453,205.952,283.346,284.368,300.423,307.07599999999996,311.991,315.756,316.678,315.548,312.1,305.387,299.181,292.6,286.19,280.062,273.97700000000003,267.795,261.466,254.727,244.976,237.295,230.71,1012.492,1268.742,1244.813,1211.815,1167.421,1115.772,1064.654,1024.393,1002.492,985.0110000000001,974.914,964.045,952.202,939.818,928.0989999999999,918.54,910.68,905.29,902.242,904.342,912.44,2540.8,2578.488,2566.433,2549.7129999999997,2528.243,2509.8779999999997,2507.734,2515.499,2527.097,2539.982,2547.444,2553.41,2557.782,2555.498,2546.1420000000003,2532.263,2523.2729999999997,2527.553,2542.659,2552.2,2550.04,31.016000000000076,
VS-24_01.mat,upi,1,P,C,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,UH0,IH0,133.08400000000006,1611.609,1744.693,192.081,196.793,188.236,183.929,185.525,187.016,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,187.997,235.55700000000002,579.418,228.785,244.285,231.912,247.949,656.8510000000001,535.596,499.151,752.888,784.038,735.2639999999999,794.497,922.65,1178.835,189.98,266.863,549.415,1101.678,655.105,571.97,270.759,1951.743,927.693,1016.982,2331.933,2076.224,2329.23,1693.602,2072.474,2327.652,2413.6679999999997,2476.401,2511.0820000000003,2471.489,2487.189,1850.885,1819.271,2189.288,2184.917,1345.6860000000001,1284.04,1273.792,3147.0359999999996,2548.781,2722.2340000000004,3411.468,3209.494,3091.322,2980.623,3300.54,3670.679,3500.156,3283.74,3124.0029999999997,3561.5609999999997,3644.833,2745.494,3034.437,3446.2940000000003,3386.728,2879.13,2776.425,2616.8779999999997,133.08400000000006,
VS-24_01.mat,upi,1,IH0,V2,tupithxah,vaa pananitaat uum tupithxah pananusaanva koovura vura,P,TH,55.94999999999982,1744.693,1800.6429999999998,218.72799999999998,236.794,241.047,239.734,233.067,227.201,220.90400000000002,218.25599999999997,215.97400000000002,214.407,213.525,213.192,212.997,212.583,212.265,211.892,211.442,211.081,210.59599999999998,209.87099999999998,208.463,357.316,291.983,301.376,321.051,347.026,374.351,392.914,403.94699999999995,410.065,410.13599999999997,406.457,402.49,397.086,385.574,367.385,345.333,327.469,316.006,312.97900000000004,317.716,325.829,1488.0279999999998,1078.62,1108.651,1161.1789999999999,1203.853,1259.781,1326.905,1402.18,1482.727,1549.1129999999998,1608.0479999999998,1655.1970000000001,1686.763,1688.9460000000001,1660.713,1621.017,1593.626,1595.004,1610.412,1619.219,1752.9260000000002,2395.758,2394.369,2371.9339999999997,2376.019,2377.387,2370.764,2365.69,2363.814,2366.73,2379.774,2408.738,2443.2,2468.156,2466.672,2442.347,2416.4120000000003,2388.002,2357.851,2366.013,2412.5660000000003,2386.311,55.94999999999982,
VS-24_02.mat,upi,2,UH0,V1,upithxah,pananitaat vura koovura upithxah,AH0,P,41.61400000000003,1752.142,1793.756,150.644,157.313,156.85299999999998,156.654,156.227,155.291,153.933,152.06,151.61700000000002,151.188,151.34,150.934,150.118,147.988,146.638,146.328,146.49,147.15,146.482,144.582,143.231,339.69300000000004,363.301,367.135,374.44599999999997,378.061,371.55699999999996,359.098,353.793,357.73199999999997,364.279,365.36400000000003,360.157,350.765,340.249,330.46,320.71299999999997,310.92400000000004,301.99,295.27099999999996,284.77299999999997,262.92900000000003,1043.213,1077.175,1066.2060000000001,1058.218,1057.872,1061.146,1062.529,1058.422,1046.4260000000002,1033.874,1025.461,1019.615,1017.4119999999999,1018.883,1020.674,1021.203,1021.933,1024.394,1030.971,1045.116,1075.356,2709.353,2744.6009999999997,2733.8459999999995,2723.792,2721.224,2724.387,2720.619,2704.3540000000003,2679.422,2656.4790000000003,2643.6240000000003,2643.9040000000005,2662.55,2696.29,2715.655,2705.377,2686.5690000000004,2676.849,2694.853,2747.958,2853.4040000000005,41.61400000000003,
VS-24_02.mat,upi,2,P,C,upithxah,pananitaat vura koovura upithxah,UH0,IH0,192.49699999999984,1793.756,1986.253,149.007,143.102,141.93,152.847,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,151.844,197.139,694.2330000000001,210.253,308.455,363.879,361.658,333.306,595.169,994.033,949.365,363.031,382.01300000000003,569.8430000000001,1104.2830000000001,994.453,800.8710000000001,1150.093,846.835,1148.867,1217.322,667.7180000000001,535.534,1970.611,1202.8410000000001,1264.016,1197.138,1245.526,1276.643,1782.1860000000001,2314.551,2500.68,2011.639,2021.2420000000002,2154.238,2337.311,2363.73,2317.831,2446.097,2313.0820000000003,2573.846,2451.725,1834.193,1846.77,3129.5890000000004,3057.586,2829.281,2748.64,2705.1420000000003,2692.5040000000004,3030.7209999999995,3361.1859999999997,3665.0640000000003,3056.518,3475.594,3191.4440000000004,3220.532,3209.0959999999995,3531.663,3417.8979999999997,3347.0809999999997,3218.6459999999997,3360.23,2754.438,2801.2309999999998,192.49699999999984,
VS-24_02.mat,upi,2,IH0,V2,upithxah,pananitaat vura koovura upithxah,P,TH,44.89200000000005,1986.253,2031.145,186.692,201.222,209.46400000000003,209.86900000000003,208.69400000000002,205.266,201.045,196.22299999999998,189.477,185.084,181.355,179.17,178.197,177.085,175.947,174.987,173.77900000000002,172.655,172.22400000000002,170.834,169.99099999999999,324.499,242.983,277.259,294.27299999999997,302.172,309.726,324.145,341.408,352.58,360.63300000000004,369.815,379.00800000000004,384.9,387.392,378.792,360.38300000000004,343.546,324.448,294.97700000000003,262.14599999999996,236.74400000000003,1642.566,1640.975,1556.339,1465.55,1424.8229999999999,1426.6529999999998,1463.715,1511.096,1563.6329999999998,1625.6270000000002,1673.559,1698.404,1713.996,1723.671,1729.826,1743.445,1768.271,1791.021,1784.9879999999998,1762.825,1752.1670000000001,2450.4429999999998,2528.235,2475.996,2423.149,2386.639,2358.438,2332.688,2313.208,2307.884,2321.863,2357.841,2403.467,2464.561,2540.3520000000003,2596.061,2586.861,2543.659,2499.771,2483.138,2503.188,2535.705,44.89200000000005,
VS-24_03.mat,upi,3,UH0,V1,tupithxah,tupithxah pakoovura pananusaanva koovura,T,P,34.887,341.208,376.095,193.141,204.03900000000002,204.25599999999997,204.65099999999998,204.018,203.558,198.805,196.05200000000002,194.62,193.128,191.69099999999997,190.81900000000002,190.13099999999997,189.32299999999998,188.688,188.33900000000003,188.03799999999998,187.247,186.011,185.304,184.635,263.274,1005.082,175.24599999999998,209.623,211.017,208.687,205.271,202.65400000000002,200.28900000000002,197.435,194.945,193.396,192.331,191.64700000000002,192.062,193.021,194.40099999999998,196.213,196.195,192.176,169.653,1883.253,2608.674,1655.0,1719.445,1737.746,1743.4579999999999,1722.04,1688.138,1664.263,1655.629,1685.366,1743.599,1851.033,2006.835,2066.906,2030.342,1952.6889999999999,1876.1760000000002,1857.72,1871.183,1899.6170000000002,2999.002,3415.627,3142.406,3148.67,3112.653,2933.1409999999996,2721.991,2669.547,2705.61,2779.558,2838.2,2858.636,2858.2709999999997,2879.28,2986.9640000000004,3086.388,3111.933,3079.987,3053.917,3075.485,3196.171,34.887,
VS-24_03.mat,upi,3,P,C,tupithxah,tupithxah pakoovura pananusaanva koovura,UH0,IH0,104.56699999999995,376.095,480.662,200.74,183.09,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,182.28599999999997,221.921,1268.576,1449.65,1507.556,1457.0520000000001,1375.4589999999998,1233.744,1211.744,1321.412,1332.085,1283.2069999999999,1315.576,1389.999,1601.236,1651.692,1398.9620000000002,1201.259,1226.631,1270.024,1359.256,617.039,300.072,2377.3779999999997,2974.663,2137.87,2438.473,2389.786,2332.728,2358.363,2355.337,2395.8289999999997,2348.271,2347.408,2306.0170000000003,2404.786,3066.492,2889.4570000000003,2466.0029999999997,2278.266,2371.195,2581.025,1866.237,1478.0520000000001,3430.72,3798.111,3482.4509999999996,3499.171,3584.722,3581.768,3489.228,3506.7459999999996,3504.336,3412.8909999999996,3352.715,3392.531,3359.2690000000002,3832.867,3514.282,3314.9640000000004,3377.6209999999996,3608.745,3924.4109999999996,3048.4109999999996,2392.077,104.56699999999995,
VS-24_03.mat,upi,3,IH0,V2,tupithxah,tupithxah pakoovura pananusaanva koovura,P,TH,59.63100000000003,480.662,540.293,182.30900000000003,238.05700000000002,218.30700000000002,204.422,193.614,188.706,185.447,182.918,180.764,179.581,178.37400000000002,176.613,174.90400000000002,173.123,171.43599999999998,169.55700000000002,167.763,166.074,164.903,164.50799999999998,164.892,378.58,346.436,369.903,381.339,384.86,385.19300000000004,384.05,382.11800000000005,381.14300000000003,381.352,381.962,381.02099999999996,376.889,372.75800000000004,372.025,372.07,372.819,378.48199999999997,388.57199999999995,396.286,389.74300000000005,1732.3020000000001,1414.4489999999998,1481.979,1581.6329999999998,1660.0629999999999,1715.185,1750.454,1766.307,1773.364,1781.328,1796.999,1820.443,1837.5079999999998,1847.1029999999998,1852.2479999999998,1836.257,1779.125,1710.1129999999998,1711.692,1802.526,1792.704,2267.592,2211.205,2218.885,2237.104,2246.849,2257.611,2276.078,2299.06,2321.275,2334.52,2340.969,2339.8920000000003,2327.808,2312.8089999999997,2306.514,2291.475,2228.282,2154.59,2127.362,2182.79,2345.495,59.63100000000003,
VS-24_05.mat,upi,4,UH0,V1,tupithxah,vaa kaan tupithxah,T,P,29.805999999999926,882.0160000000001,911.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.6989999999998,769.9110000000001,1645.5839999999998,1638.138,1619.491,1590.746,1541.6689999999999,1476.15,1399.763,1340.43,1321.076,1317.376,1316.4479999999999,1310.355,1295.667,1278.308,1264.964,1259.057,1267.526,1287.066,1323.886,2404.482,1961.974,2562.098,2538.98,2519.0370000000003,2496.297,2460.697,2423.899,2410.706,2424.3160000000003,2459.652,2489.094,2494.799,2486.345,2470.144,2456.166,2447.02,2437.81,2421.633,2396.446,2351.738,3572.565,3056.06,3747.2870000000003,3748.014,3741.7870000000003,3733.9159999999997,3726.98,3718.8959999999997,3704.704,3682.8179999999998,3645.615,3608.007,3586.822,3575.445,3571.4829999999997,3569.9790000000003,3570.377,3570.684,3565.6409999999996,3548.51,3497.3459999999995,29.805999999999926,V1 voiceless
